geneModel	change	counterfactual_fate	current_fate
Vvinifera:chr01:24788599-24917623	added	grid_absent	retained
Vvinifera:chr01:24788599-24917623-rc	added	grid_absent	retained
Vvinifera:chr01:24792997-24823717	added	grid_absent	retained
Vvinifera:chr01:24792997-24823717-rc	added	grid_absent	retained
Vvinifera:chr01:24794711-24856151	added	grid_absent	retained
Vvinifera:chr01:24794711-24856151-rc	added	grid_absent	retained
Vvinifera:chr01:24805333-24934357	removed	retained	grid_absent
Vvinifera:chr01:24805333-24934357-rc	removed	retained	grid_absent
Vvinifera:chr01:24807252-24837972	removed	retained	grid_absent
Vvinifera:chr01:24807252-24837972-rc	removed	retained	grid_absent
Vvinifera:chr01:24823717-24854437	added	grid_absent	retained
Vvinifera:chr01:24823717-24854437-rc	added	grid_absent	retained
Vvinifera:chr01:24835654-24897094	removed	retained	grid_absent
Vvinifera:chr01:24835654-24897094-rc	removed	retained	grid_absent
Vvinifera:chr01:24837972-24868692	removed	retained	grid_absent
Vvinifera:chr01:24837972-24868692-rc	removed	retained	grid_absent
Vvinifera:chr01:2484181-2613205	removed	retained	grid_absent
Vvinifera:chr01:2484181-2613205-rc	removed	retained	grid_absent
Vvinifera:chr01:24854437-24885157	added	grid_absent	retained
Vvinifera:chr01:24854437-24885157-rc	added	grid_absent	retained
Vvinifera:chr01:24856151-24917591	added	grid_absent	retained
Vvinifera:chr01:24856151-24917591-rc	added	grid_absent	retained
Vvinifera:chr01:24868692-24899412	removed	retained	grid_absent
Vvinifera:chr01:24868692-24899412-rc	removed	retained	grid_absent
Vvinifera:chr01:24885157-24915877	added	grid_absent	retained
Vvinifera:chr01:24885157-24915877-rc	added	grid_absent	retained
Vvinifera:chr01:24897094-24958534	removed	retained	grid_absent
Vvinifera:chr01:24899412-24930132	removed	retained	grid_absent
Vvinifera:chr01:2490277-2520997	added	grid_absent	retained
Vvinifera:chr01:24915877-24946597	added	grid_absent	retained
Vvinifera:chr01:24917591-24979031	added	grid_absent	retained
Vvinifera:chr01:24917591-24979031-rc	added	grid_absent	retained
Vvinifera:chr01:24917623-25046647	added	grid_absent	retained
Vvinifera:chr01:24917623-25046647-rc	added	grid_absent	retained
Vvinifera:chr01:2491991-2553431	added	grid_absent	retained
Vvinifera:chr01:2491991-2553431-rc	added	grid_absent	retained
Vvinifera:chr01:24930132-24960852	removed	retained	grid_absent
Vvinifera:chr01:24934357-25063381	removed	retained	grid_absent
Vvinifera:chr01:24934357-25063381-rc	removed	retained	grid_absent
Vvinifera:chr01:24946597-24977317	added	grid_absent	retained
Vvinifera:chr01:24946597-24977317-rc	added	grid_absent	retained
Vvinifera:chr01:24958534-25019974	removed	retained	grid_absent
Vvinifera:chr01:24958534-25019974-rc	removed	retained	grid_absent
Vvinifera:chr01:24960852-24991572	removed	retained	grid_absent
Vvinifera:chr01:24960852-24991572-rc	removed	retained	grid_absent
Vvinifera:chr01:24979031-25040471	added	grid_absent	retained
Vvinifera:chr01:24991572-25022292	removed	retained	grid_absent
Vvinifera:chr01:25008037-25038757	added	grid_absent	retained
Vvinifera:chr01:25019974-25081414	removed	retained	grid_absent
Vvinifera:chr01:25038757-25069477	added	grid_absent	retained
Vvinifera:chr01:25040471-25101911	added	grid_absent	retained
Vvinifera:chr01:25040471-25101911-rc	added	grid_absent	retained
Vvinifera:chr01:2504532-2535252	removed	retained	grid_absent
Vvinifera:chr01:2504532-2535252-rc	removed	retained	grid_absent
Vvinifera:chr01:25046647-25175671	added	grid_absent	retained
Vvinifera:chr01:25046647-25175671-rc	added	grid_absent	retained
Vvinifera:chr01:25053012-25083732	removed	retained	grid_absent
Vvinifera:chr01:25053012-25083732-rc	removed	retained	grid_absent
Vvinifera:chr01:25063381-25192405	removed	retained	grid_absent
Vvinifera:chr01:25063381-25192405-rc	removed	retained	grid_absent
Vvinifera:chr01:25069477-25100197	added	grid_absent	retained
Vvinifera:chr01:25069477-25100197-rc	added	grid_absent	retained
Vvinifera:chr01:25081414-25142854	removed	retained	grid_absent
Vvinifera:chr01:25081414-25142854-rc	removed	retained	grid_absent
Vvinifera:chr01:25083732-25114452	removed	retained	grid_absent
Vvinifera:chr01:25100197-25130917	added	grid_absent	retained
Vvinifera:chr01:25100197-25130917-rc	added	grid_absent	retained
Vvinifera:chr01:25101911-25163351	added	grid_absent	retained
Vvinifera:chr01:25101911-25163351-rc	added	grid_absent	retained
Vvinifera:chr01:25114452-25145172	removed	retained	grid_absent
Vvinifera:chr01:25130917-25161637	added	grid_absent	retained
Vvinifera:chr01:25130917-25161637-rc	added	grid_absent	retained
Vvinifera:chr01:25142854-25204294	removed	retained	grid_absent
Vvinifera:chr01:25142854-25204294-rc	removed	retained	grid_absent
Vvinifera:chr01:25145172-25175892	removed	retained	grid_absent
Vvinifera:chr01:25161637-25192357	added	grid_absent	retained
Vvinifera:chr01:25163351-25224791	added	grid_absent	retained
Vvinifera:chr01:25163351-25224791-rc	added	grid_absent	retained
Vvinifera:chr01:25175671-25304695	added	grid_absent	retained
Vvinifera:chr01:25175671-25304695-rc	added	grid_absent	retained
Vvinifera:chr01:25175892-25206612	removed	retained	grid_absent
Vvinifera:chr01:25192357-25223077	added	grid_absent	retained
Vvinifera:chr01:25192357-25223077-rc	added	grid_absent	retained
Vvinifera:chr01:25192405-25321429	removed	retained	grid_absent
Vvinifera:chr01:25192405-25321429-rc	removed	retained	grid_absent
Vvinifera:chr01:25204294-25265734	removed	retained	grid_absent
Vvinifera:chr01:25204294-25265734-rc	removed	retained	grid_absent
Vvinifera:chr01:25206612-25237332	removed	retained	grid_absent
Vvinifera:chr01:25206612-25237332-rc	removed	retained	grid_absent
Vvinifera:chr01:2520997-2551717	added	grid_absent	retained
Vvinifera:chr01:25223077-25253797	added	grid_absent	retained
Vvinifera:chr01:25224791-25286231	added	grid_absent	retained
Vvinifera:chr01:25237332-25268052	removed	retained	grid_absent
Vvinifera:chr01:25253797-25284517	added	grid_absent	retained
Vvinifera:chr01:25265734-25327174	removed	retained	grid_absent
Vvinifera:chr01:25265734-25327174-rc	removed	retained	grid_absent
Vvinifera:chr01:25268052-25298772	removed	retained	grid_absent
Vvinifera:chr01:25284517-25315237	added	grid_absent	retained
Vvinifera:chr01:25284517-25315237-rc	added	grid_absent	retained
Vvinifera:chr01:25286231-25347671	added	grid_absent	retained
Vvinifera:chr01:25286231-25347671-rc	added	grid_absent	retained
Vvinifera:chr01:25298772-25329492	removed	retained	grid_absent
Vvinifera:chr01:25304695-25433719	added	grid_absent	retained
Vvinifera:chr01:25304695-25433719-rc	added	grid_absent	retained
Vvinifera:chr01:25315237-25345957	added	grid_absent	retained
Vvinifera:chr01:25315237-25345957-rc	added	grid_absent	retained
Vvinifera:chr01:25321429-25450453	removed	retained	grid_absent
Vvinifera:chr01:25321429-25450453-rc	removed	retained	grid_absent
Vvinifera:chr01:25327174-25388614	removed	retained	grid_absent
Vvinifera:chr01:25327174-25388614-rc	removed	retained	grid_absent
Vvinifera:chr01:2532934-2594374	removed	retained	grid_absent
Vvinifera:chr01:25329492-25360212	removed	retained	grid_absent
Vvinifera:chr01:25329492-25360212-rc	removed	retained	grid_absent
Vvinifera:chr01:25345957-25376677	added	grid_absent	retained
Vvinifera:chr01:25347671-25409111	added	grid_absent	retained
Vvinifera:chr01:2535252-2565972	removed	retained	grid_absent
Vvinifera:chr01:25376677-25407397	added	grid_absent	retained
Vvinifera:chr01:25388614-25450054	removed	retained	grid_absent
Vvinifera:chr01:25388614-25450054-rc	removed	retained	grid_absent
Vvinifera:chr01:25390932-25421652	removed	retained	grid_absent
Vvinifera:chr01:25407397-25438117	added	grid_absent	retained
Vvinifera:chr01:25407397-25438117-rc	added	grid_absent	retained
Vvinifera:chr01:25409111-25470551	added	grid_absent	retained
Vvinifera:chr01:25409111-25470551-rc	added	grid_absent	retained
Vvinifera:chr01:25421652-25452372	removed	retained	grid_absent
Vvinifera:chr01:25421652-25452372-rc	removed	retained	grid_absent
Vvinifera:chr01:25433719-25562743	added	grid_absent	retained
Vvinifera:chr01:25433719-25562743-rc	added	grid_absent	retained
Vvinifera:chr01:25438117-25468837	added	grid_absent	retained
Vvinifera:chr01:25450054-25511494	removed	retained	grid_absent
Vvinifera:chr01:25450054-25511494-rc	removed	retained	grid_absent
Vvinifera:chr01:25450453-25579477	removed	retained	grid_absent
Vvinifera:chr01:25450453-25579477-rc	removed	retained	grid_absent
Vvinifera:chr01:25452372-25483092	removed	retained	grid_absent
Vvinifera:chr01:25452372-25483092-rc	removed	retained	grid_absent
Vvinifera:chr01:25468837-25499557	added	grid_absent	retained
Vvinifera:chr01:25468837-25499557-rc	added	grid_absent	retained
Vvinifera:chr01:25470551-25531991	added	grid_absent	retained
Vvinifera:chr01:25470551-25531991-rc	added	grid_absent	retained
Vvinifera:chr01:25483092-25513812	removed	retained	grid_absent
Vvinifera:chr01:25499557-25530277	added	grid_absent	retained
Vvinifera:chr01:25511494-25572934	removed	retained	grid_absent
Vvinifera:chr01:25511494-25572934-rc	removed	retained	grid_absent
Vvinifera:chr01:25513812-25544532	removed	retained	grid_absent
Vvinifera:chr01:25513812-25544532-rc	removed	retained	grid_absent
Vvinifera:chr01:2551717-2582437	added	grid_absent	retained
Vvinifera:chr01:25530277-25560997	added	grid_absent	retained
Vvinifera:chr01:25530277-25560997-rc	added	grid_absent	retained
Vvinifera:chr01:25531991-25593431	added	grid_absent	retained
Vvinifera:chr01:25531991-25593431-rc	added	grid_absent	retained
Vvinifera:chr01:2553431-2614871	added	grid_absent	retained
Vvinifera:chr01:25544532-25575252	removed	retained	grid_absent
Vvinifera:chr01:25544532-25575252-rc	removed	retained	grid_absent
Vvinifera:chr01:25560997-25591717	added	grid_absent	retained
Vvinifera:chr01:25560997-25591717-rc	added	grid_absent	retained
Vvinifera:chr01:25562743-25691767	added	grid_absent	retained
Vvinifera:chr01:25562743-25691767-rc	added	grid_absent	retained
Vvinifera:chr01:25572934-25634374	removed	retained	grid_absent
Vvinifera:chr01:25572934-25634374-rc	removed	retained	grid_absent
Vvinifera:chr01:25575252-25605972	removed	retained	grid_absent
Vvinifera:chr01:25575252-25605972-rc	removed	retained	grid_absent
Vvinifera:chr01:25579477-25708501	removed	retained	grid_absent
Vvinifera:chr01:25579477-25708501-rc	removed	retained	grid_absent
Vvinifera:chr01:25591717-25622437	added	grid_absent	retained
Vvinifera:chr01:25591717-25622437-rc	added	grid_absent	retained
Vvinifera:chr01:25593431-25654871	added	grid_absent	retained
Vvinifera:chr01:25593431-25654871-rc	added	grid_absent	retained
Vvinifera:chr01:25605972-25636692	removed	retained	grid_absent
Vvinifera:chr01:25605972-25636692-rc	removed	retained	grid_absent
Vvinifera:chr01:25622437-25653157	added	grid_absent	retained
Vvinifera:chr01:25634374-25695814	removed	retained	grid_absent
Vvinifera:chr01:25634374-25695814-rc	removed	retained	grid_absent
Vvinifera:chr01:25636692-25667412	removed	retained	grid_absent
Vvinifera:chr01:25653157-25683877	added	grid_absent	retained
Vvinifera:chr01:25653157-25683877-rc	added	grid_absent	retained
Vvinifera:chr01:25654871-25716311	added	grid_absent	retained
Vvinifera:chr01:25654871-25716311-rc	added	grid_absent	retained
Vvinifera:chr01:2565972-2596692	removed	retained	grid_absent
Vvinifera:chr01:25667412-25698132	removed	retained	grid_absent
Vvinifera:chr01:25667412-25698132-rc	removed	retained	grid_absent
Vvinifera:chr01:25683877-25714597	added	grid_absent	retained
Vvinifera:chr01:25683877-25714597-rc	added	grid_absent	retained
Vvinifera:chr01:25691767-25820791	added	grid_absent	retained
Vvinifera:chr01:25691767-25820791-rc	added	grid_absent	retained
Vvinifera:chr01:25695814-25757254	removed	retained	grid_absent
Vvinifera:chr01:25695814-25757254-rc	removed	retained	grid_absent
Vvinifera:chr01:25708501-25837525	removed	retained	grid_absent
Vvinifera:chr01:25708501-25837525-rc	removed	retained	grid_absent
Vvinifera:chr01:25714597-25745317	added	grid_absent	retained
Vvinifera:chr01:25716311-25777751	added	grid_absent	retained
Vvinifera:chr01:25716311-25777751-rc	added	grid_absent	retained
Vvinifera:chr01:25728852-25759572	removed	retained	grid_absent
Vvinifera:chr01:25728852-25759572-rc	removed	retained	grid_absent
Vvinifera:chr01:25745317-25776037	added	grid_absent	retained
Vvinifera:chr01:25745317-25776037-rc	added	grid_absent	retained
Vvinifera:chr01:25757254-25818694	removed	retained	grid_absent
Vvinifera:chr01:25757254-25818694-rc	removed	retained	grid_absent
Vvinifera:chr01:25759572-25790292	removed	retained	grid_absent
Vvinifera:chr01:25776037-25806757	added	grid_absent	retained
Vvinifera:chr01:25776037-25806757-rc	added	grid_absent	retained
Vvinifera:chr01:25777751-25839191	added	grid_absent	retained
Vvinifera:chr01:25777751-25839191-rc	added	grid_absent	retained
Vvinifera:chr01:25790292-25821012	removed	retained	grid_absent
Vvinifera:chr01:25790292-25821012-rc	removed	retained	grid_absent
Vvinifera:chr01:25806757-25837477	added	grid_absent	retained
Vvinifera:chr01:25818694-25880134	removed	retained	grid_absent
Vvinifera:chr01:25820791-25949815	added	grid_absent	retained
Vvinifera:chr01:25821012-25851732	removed	retained	grid_absent
Vvinifera:chr01:2582437-2613157	added	grid_absent	retained
Vvinifera:chr01:25837477-25868197	added	grid_absent	retained
Vvinifera:chr01:25837477-25868197-rc	added	grid_absent	retained
Vvinifera:chr01:25837525-25966549	removed	retained	grid_absent
Vvinifera:chr01:25839191-25900631	added	grid_absent	retained
Vvinifera:chr01:25851732-25882452	removed	retained	grid_absent
Vvinifera:chr01:25868197-25898917	added	grid_absent	retained
Vvinifera:chr01:25880134-25941574	removed	retained	grid_absent
Vvinifera:chr01:25882452-25913172	removed	retained	grid_absent
Vvinifera:chr01:25898917-25929637	added	grid_absent	retained
Vvinifera:chr01:25900631-25962071	added	grid_absent	retained
Vvinifera:chr01:25900631-25962071-rc	added	grid_absent	retained
Vvinifera:chr01:25913172-25943892	removed	retained	grid_absent
Vvinifera:chr01:25929637-25960357	added	grid_absent	retained
Vvinifera:chr01:25929637-25960357-rc	added	grid_absent	retained
Vvinifera:chr01:25941574-26003014	removed	retained	grid_absent
Vvinifera:chr01:25941574-26003014-rc	removed	retained	grid_absent
Vvinifera:chr01:2594374-2655814	removed	retained	grid_absent
Vvinifera:chr01:2594374-2655814-rc	removed	retained	grid_absent
Vvinifera:chr01:25943892-25974612	removed	retained	grid_absent
Vvinifera:chr01:25943892-25974612-rc	removed	retained	grid_absent
Vvinifera:chr01:25960357-25991077	added	grid_absent	retained
Vvinifera:chr01:25962071-26023511	added	grid_absent	retained
Vvinifera:chr01:2596471-2725495	added	grid_absent	retained
Vvinifera:chr01:2596471-2725495-rc	added	grid_absent	retained
Vvinifera:chr01:259654-321094	removed	retained	grid_absent
Vvinifera:chr01:259654-321094-rc	removed	retained	grid_absent
Vvinifera:chr01:25966549-26095573	removed	retained	grid_absent
Vvinifera:chr01:2596692-2627412	removed	retained	grid_absent
Vvinifera:chr01:25991077-26021797	added	grid_absent	retained
Vvinifera:chr01:26021797-26052517	added	grid_absent	retained
Vvinifera:chr01:26023511-26084951	added	grid_absent	retained
Vvinifera:chr01:26064454-26125894	removed	retained	grid_absent
Vvinifera:chr01:26078839-26207863	added	grid_absent	retained
Vvinifera:chr01:26078839-26207863-rc	added	grid_absent	retained
Vvinifera:chr01:26083237-26113957	added	grid_absent	retained
Vvinifera:chr01:26084951-26146391	added	grid_absent	retained
Vvinifera:chr01:26095573-26224597	removed	retained	grid_absent
Vvinifera:chr01:26095573-26224597-rc	removed	retained	grid_absent
Vvinifera:chr01:26097492-26128212	removed	retained	grid_absent
Vvinifera:chr01:26113957-26144677	added	grid_absent	retained
Vvinifera:chr01:26125894-26187334	removed	retained	grid_absent
Vvinifera:chr01:26128212-26158932	removed	retained	grid_absent
Vvinifera:chr01:2613157-2643877	added	grid_absent	retained
Vvinifera:chr01:2613205-2742229	removed	retained	grid_absent
Vvinifera:chr01:2613205-2742229-rc	removed	retained	grid_absent
Vvinifera:chr01:26146391-26207831	added	grid_absent	retained
Vvinifera:chr01:26146391-26207831-rc	added	grid_absent	retained
Vvinifera:chr01:2614871-2676311	added	grid_absent	retained
Vvinifera:chr01:2614871-2676311-rc	added	grid_absent	retained
Vvinifera:chr01:26158932-26189652	removed	retained	grid_absent
Vvinifera:chr01:26158932-26189652-rc	removed	retained	grid_absent
Vvinifera:chr01:26175397-26206117	added	grid_absent	retained
Vvinifera:chr01:26187334-26248774	removed	retained	grid_absent
Vvinifera:chr01:26187334-26248774-rc	removed	retained	grid_absent
Vvinifera:chr01:26189652-26220372	removed	retained	grid_absent
Vvinifera:chr01:261972-292692	removed	retained	grid_absent
Vvinifera:chr01:26206117-26236837	added	grid_absent	retained
Vvinifera:chr01:26206117-26236837-rc	added	grid_absent	retained
Vvinifera:chr01:26207831-26269271	added	grid_absent	retained
Vvinifera:chr01:26207831-26269271-rc	added	grid_absent	retained
Vvinifera:chr01:26207863-26336887	added	grid_absent	retained
Vvinifera:chr01:26207863-26336887-rc	added	grid_absent	retained
Vvinifera:chr01:26220372-26251092	removed	retained	grid_absent
Vvinifera:chr01:26220372-26251092-rc	removed	retained	grid_absent
Vvinifera:chr01:26224597-26353621	removed	retained	grid_absent
Vvinifera:chr01:26236837-26267557	added	grid_absent	retained
Vvinifera:chr01:26248774-26310214	removed	retained	grid_absent
Vvinifera:chr01:26251092-26281812	removed	retained	grid_absent
Vvinifera:chr01:26267557-26298277	added	grid_absent	retained
Vvinifera:chr01:26269271-26330711	added	grid_absent	retained
Vvinifera:chr01:2627412-2658132	removed	retained	grid_absent
Vvinifera:chr01:2627412-2658132-rc	removed	retained	grid_absent
Vvinifera:chr01:26281812-26312532	removed	retained	grid_absent
Vvinifera:chr01:26298277-26328997	added	grid_absent	retained
Vvinifera:chr01:26310214-26371654	removed	retained	grid_absent
Vvinifera:chr01:26312532-26343252	removed	retained	grid_absent
Vvinifera:chr01:26328997-26359717	added	grid_absent	retained
Vvinifera:chr01:26330711-26392151	added	grid_absent	retained
Vvinifera:chr01:26336887-26465911	added	grid_absent	retained
Vvinifera:chr01:26343252-26373972	removed	retained	grid_absent
Vvinifera:chr01:26353621-26482645	removed	retained	grid_absent
Vvinifera:chr01:26359717-26390437	added	grid_absent	retained
Vvinifera:chr01:26371654-26433094	removed	retained	grid_absent
Vvinifera:chr01:26373972-26404692	removed	retained	grid_absent
Vvinifera:chr01:26390437-26421157	added	grid_absent	retained
Vvinifera:chr01:26392151-26453591	added	grid_absent	retained
Vvinifera:chr01:26404692-26435412	removed	retained	grid_absent
Vvinifera:chr01:26421157-26451877	added	grid_absent	retained
Vvinifera:chr01:26433094-26494534	removed	retained	grid_absent
Vvinifera:chr01:26435412-26466132	removed	retained	grid_absent
Vvinifera:chr01:2643877-2674597	added	grid_absent	retained
Vvinifera:chr01:2643877-2674597-rc	added	grid_absent	retained
Vvinifera:chr01:26451877-26482597	added	grid_absent	retained
Vvinifera:chr01:26453591-26515031	added	grid_absent	retained
Vvinifera:chr01:26465911-26594935	added	grid_absent	retained
Vvinifera:chr01:26466132-26496852	removed	retained	grid_absent
Vvinifera:chr01:26482597-26513317	added	grid_absent	retained
Vvinifera:chr01:26482645-26611669	removed	retained	grid_absent
Vvinifera:chr01:26494534-26555974	removed	retained	grid_absent
Vvinifera:chr01:26496852-26527572	removed	retained	grid_absent
Vvinifera:chr01:26513317-26544037	added	grid_absent	retained
Vvinifera:chr01:26515031-26576471	added	grid_absent	retained
Vvinifera:chr01:26527572-26558292	removed	retained	grid_absent
Vvinifera:chr01:26544037-26574757	added	grid_absent	retained
Vvinifera:chr01:26555974-26617414	removed	retained	grid_absent
Vvinifera:chr01:2655814-2717254	removed	retained	grid_absent
Vvinifera:chr01:2655814-2717254-rc	removed	retained	grid_absent
Vvinifera:chr01:26558292-26589012	removed	retained	grid_absent
Vvinifera:chr01:26574757-26605477	added	grid_absent	retained
Vvinifera:chr01:26576471-26637911	added	grid_absent	retained
Vvinifera:chr01:2658132-2688852	removed	retained	grid_absent
Vvinifera:chr01:26589012-26619732	removed	retained	grid_absent
Vvinifera:chr01:26594935-26723959	added	grid_absent	retained
Vvinifera:chr01:26605477-26636197	added	grid_absent	retained
Vvinifera:chr01:26611669-26740693	removed	retained	grid_absent
Vvinifera:chr01:26617414-26678854	removed	retained	grid_absent
Vvinifera:chr01:26619732-26650452	removed	retained	grid_absent
Vvinifera:chr01:26636197-26666917	added	grid_absent	retained
Vvinifera:chr01:26637911-26699351	added	grid_absent	retained
Vvinifera:chr01:26650452-26681172	removed	retained	grid_absent
Vvinifera:chr01:26666917-26697637	added	grid_absent	retained
Vvinifera:chr01:26678854-26740294	removed	retained	grid_absent
Vvinifera:chr01:26681172-26711892	removed	retained	grid_absent
Vvinifera:chr01:26697637-26728357	added	grid_absent	retained
Vvinifera:chr01:26699351-26760791	added	grid_absent	retained
Vvinifera:chr01:26711892-26742612	removed	retained	grid_absent
Vvinifera:chr01:26723959-26852983	added	grid_absent	retained
Vvinifera:chr01:26723959-26852983-rc	added	grid_absent	retained
Vvinifera:chr01:26728357-26759077	added	grid_absent	retained
Vvinifera:chr01:26740294-26801734	removed	retained	grid_absent
Vvinifera:chr01:26740294-26801734-rc	removed	retained	grid_absent
Vvinifera:chr01:26740693-26869717	removed	retained	grid_absent
Vvinifera:chr01:26740693-26869717-rc	removed	retained	grid_absent
Vvinifera:chr01:26742612-26773332	removed	retained	grid_absent
Vvinifera:chr01:26742612-26773332-rc	removed	retained	grid_absent
Vvinifera:chr01:2674597-2705317	added	grid_absent	retained
Vvinifera:chr01:26759077-26789797	added	grid_absent	retained
Vvinifera:chr01:26760791-26822231	added	grid_absent	retained
Vvinifera:chr01:2676311-2737751	added	grid_absent	retained
Vvinifera:chr01:2676311-2737751-rc	added	grid_absent	retained
Vvinifera:chr01:26773332-26804052	removed	retained	grid_absent
Vvinifera:chr01:26789797-26820517	added	grid_absent	retained
Vvinifera:chr01:26801734-26863174	removed	retained	grid_absent
Vvinifera:chr01:26804052-26834772	removed	retained	grid_absent
Vvinifera:chr01:26820517-26851237	added	grid_absent	retained
Vvinifera:chr01:26822231-26883671	added	grid_absent	retained
Vvinifera:chr01:26834772-26865492	removed	retained	grid_absent
Vvinifera:chr01:26851237-26881957	added	grid_absent	retained
Vvinifera:chr01:26852983-26982007	added	grid_absent	retained
Vvinifera:chr01:26852983-26982007-rc	added	grid_absent	retained
Vvinifera:chr01:26863174-26924614	removed	retained	grid_absent
Vvinifera:chr01:26865492-26896212	removed	retained	grid_absent
Vvinifera:chr01:26869717-26998741	removed	retained	grid_absent
Vvinifera:chr01:26869717-26998741-rc	removed	retained	grid_absent
Vvinifera:chr01:26881957-26912677	added	grid_absent	retained
Vvinifera:chr01:26883671-26945111	added	grid_absent	retained
Vvinifera:chr01:2688852-2719572	removed	retained	grid_absent
Vvinifera:chr01:26896212-26926932	removed	retained	grid_absent
Vvinifera:chr01:26912677-26943397	added	grid_absent	retained
Vvinifera:chr01:26924614-26986054	removed	retained	grid_absent
Vvinifera:chr01:26924614-26986054-rc	removed	retained	grid_absent
Vvinifera:chr01:26926932-26957652	removed	retained	grid_absent
Vvinifera:chr01:26943397-26974117	added	grid_absent	retained
Vvinifera:chr01:26943397-26974117-rc	added	grid_absent	retained
Vvinifera:chr01:26945111-27006551	added	grid_absent	retained
Vvinifera:chr01:26945111-27006551-rc	added	grid_absent	retained
Vvinifera:chr01:26957652-26988372	removed	retained	grid_absent
Vvinifera:chr01:26974117-27004837	added	grid_absent	retained
Vvinifera:chr01:26982007-27111031	added	grid_absent	retained
Vvinifera:chr01:26982007-27111031-rc	added	grid_absent	retained
Vvinifera:chr01:26986054-27047494	removed	retained	grid_absent
Vvinifera:chr01:26988372-27019092	removed	retained	grid_absent
Vvinifera:chr01:26998741-27127765	removed	retained	grid_absent
Vvinifera:chr01:26998741-27127765-rc	removed	retained	grid_absent
Vvinifera:chr01:27004837-27035557	added	grid_absent	retained
Vvinifera:chr01:27006551-27067991	added	grid_absent	retained
Vvinifera:chr01:27006551-27067991-rc	added	grid_absent	retained
Vvinifera:chr01:27019092-27049812	removed	retained	grid_absent
Vvinifera:chr01:27035557-27066277	added	grid_absent	retained
Vvinifera:chr01:27035557-27066277-rc	added	grid_absent	retained
Vvinifera:chr01:27047494-27108934	removed	retained	grid_absent
Vvinifera:chr01:27049812-27080532	removed	retained	grid_absent
Vvinifera:chr01:27049812-27080532-rc	removed	retained	grid_absent
Vvinifera:chr01:2705317-2736037	added	grid_absent	retained
Vvinifera:chr01:27066277-27096997	added	grid_absent	retained
Vvinifera:chr01:27067991-27129431	added	grid_absent	retained
Vvinifera:chr01:27080532-27111252	removed	retained	grid_absent
Vvinifera:chr01:27096997-27127717	added	grid_absent	retained
Vvinifera:chr01:27108934-27170374	removed	retained	grid_absent
Vvinifera:chr01:27108934-27170374-rc	removed	retained	grid_absent
Vvinifera:chr01:27111031-27240055	added	grid_absent	retained
Vvinifera:chr01:27111031-27240055-rc	added	grid_absent	retained
Vvinifera:chr01:27111252-27141972	removed	retained	grid_absent
Vvinifera:chr01:27127717-27158437	added	grid_absent	retained
Vvinifera:chr01:27127717-27158437-rc	added	grid_absent	retained
Vvinifera:chr01:27127765-27256789	removed	retained	grid_absent
Vvinifera:chr01:27127765-27256789-rc	removed	retained	grid_absent
Vvinifera:chr01:27129431-27190871	added	grid_absent	retained
Vvinifera:chr01:27129431-27190871-rc	added	grid_absent	retained
Vvinifera:chr01:27158437-27189157	added	grid_absent	retained
Vvinifera:chr01:27170374-27231814	removed	retained	grid_absent
Vvinifera:chr01:2717254-2778694	removed	retained	grid_absent
Vvinifera:chr01:27172692-27203412	removed	retained	grid_absent
Vvinifera:chr01:27189157-27219877	added	grid_absent	retained
Vvinifera:chr01:27190871-27252311	added	grid_absent	retained
Vvinifera:chr01:2719572-2750292	removed	retained	grid_absent
Vvinifera:chr01:27203412-27234132	removed	retained	grid_absent
Vvinifera:chr01:27219877-27250597	added	grid_absent	retained
Vvinifera:chr01:27231814-27293254	removed	retained	grid_absent
Vvinifera:chr01:27234132-27264852	removed	retained	grid_absent
Vvinifera:chr01:27240055-27369079	added	grid_absent	retained
Vvinifera:chr01:27240055-27369079-rc	added	grid_absent	retained
Vvinifera:chr01:27250597-27281317	added	grid_absent	retained
Vvinifera:chr01:27252311-27313751	added	grid_absent	retained
Vvinifera:chr01:27252311-27313751-rc	added	grid_absent	retained
Vvinifera:chr01:2725495-2854519	added	grid_absent	retained
Vvinifera:chr01:2725495-2854519-rc	added	grid_absent	retained
Vvinifera:chr01:27256789-27385813	removed	retained	grid_absent
Vvinifera:chr01:27256789-27385813-rc	removed	retained	grid_absent
Vvinifera:chr01:27264852-27295572	removed	retained	grid_absent
Vvinifera:chr01:27281317-27312037	added	grid_absent	retained
Vvinifera:chr01:27293254-27354694	removed	retained	grid_absent
Vvinifera:chr01:27293254-27354694-rc	removed	retained	grid_absent
Vvinifera:chr01:27295572-27326292	removed	retained	grid_absent
Vvinifera:chr01:27312037-27342757	added	grid_absent	retained
Vvinifera:chr01:27313751-27375191	added	grid_absent	retained
Vvinifera:chr01:27326292-27357012	removed	retained	grid_absent
Vvinifera:chr01:27342757-27373477	added	grid_absent	retained
Vvinifera:chr01:27354694-27416134	removed	retained	grid_absent
Vvinifera:chr01:27354694-27416134-rc	removed	retained	grid_absent
Vvinifera:chr01:27357012-27387732	removed	retained	grid_absent
Vvinifera:chr01:2736037-2766757	added	grid_absent	retained
Vvinifera:chr01:27369079-27498103	added	grid_absent	retained
Vvinifera:chr01:27369079-27498103-rc	added	grid_absent	retained
Vvinifera:chr01:27373477-27404197	added	grid_absent	retained
Vvinifera:chr01:27375191-27436631	added	grid_absent	retained
